,ID,descriptions,prices,Brand,rating,free_shipping,daraz_mall,seller_rating,ontime_rating
160,161,Tecno Spark 10C RAM 4 GB ROM 128 GB Front Camera 8 MP Back Camera 16 MP Battery Type 5000 mAh,"Rs. 29,999",No Brand,4.8,Pakistan,0,93%,100%
161,162,Redmi Note 12 || 8GB Ram 128GB Rom || 6.67 Inches AMOLED Display || 5000 mAh - Fast charging 33W wired ||,"Rs. 50,449",No Brand,4.6,Free Shipping,0,94%,92%
162,163,"Redmi Note 12 Pro , 8GB Ram 256GB Rom , 6.67 Inches AMOLED Display || 5000 mAh - Fast charging 67W","Rs. 88,999",No Brand,4.6,Free Shipping,0,90%,100%
163,164,SparX Neo 7 Ultra || 6GB Ram 128GB Rom || 5000mAh Battery,"Rs. 32,999",No Brand,4.3,Free Shipping,0,91%,74%
164,165,"Xiaomi 13T 12GB RAM-256GB ROM Flat display - FHD+ 6.67"" AMOLED PTA APPROVED OFFICIAL BRAND WARRANTY","Rs. 165,999",Redmi,4.4,Free Shipping,0,85%,100%
165,166,itel S23 4G || 8GB+8GB Ram 128GB Rom || 5000mAh Battery,"Rs. 30,999",No Brand,0,Free Shipping,0,91%,74%
166,167,"INFINIX SMART 7 4GB RAM 64GB ROM || 6000mAh BATTERY || 4G LTE || 6.6"" DISPLAY || ONE YEAR BRAND WARRANTY || PTA APPROVED","Rs. 25,999",No Brand,4,Free Shipping,0,92%,96%
167,168,Xiaomi Redmi Note 12 || 8GB Ram 128GB Rom || 5000mAh Battery 33W Fast Charger,"Rs. 51,499",No Brand,5,Free Shipping,0,94%,100%
168,169,"Redmi Note 12 - 6.67"" Inch Display - 8GB RAM - 128GB / 256GB ROM","Rs. 51,299",No Brand,4.8,Free Shipping,0,91%,85%
169,170,"Xiaomi Redmi Note 12 Pro RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 108 MP + 08 MP + 02 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 88,840",No Brand,4.3,Free Shipping,0,91%,100%
170,171,Redmi Note 12 Pro - 8GB Ram 256GB Rom - 5000mAh Battery,"Rs. 87,999",No Brand,5,Free Shipping,0,84%,100%
171,172,"Xiaomi Redmi Note 12 Pro RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 108 MP + 08 MP + 02 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 88,880",No Brand,5,Free Shipping,0,85%,74%
172,173,Xiaomi Redmi Note 12 - 8GB RAM 128GB/256GB ROM - 5000mAh Battery,"Rs. 53,999",No Brand,5,Free Shipping,0,95%,74%
173,174,"Redmi Note 12 8GB Ram 128GB Rom, Display Size 6.67 Inches, Battery Capacity 5000 mAh , Fast charging 33W","Rs. 50,999",No Brand,0,Free Shipping,0,95%,92%
