,ID,Name,Review text
84,10,Amdad S.,Genuine Product ❤️❤️❤️ Thanks Seller 😊🤩🤩 Thanks Daraz 👍👍
85,10,3***8,Awesome mobile excellent service by
86,10,Muhammad A.,ماشاءاللہ جس رنگ میں آرڈر کیا تھا وہی ملا ہے اور موبائل ڈبہ پیک تھا جو اپنے ہاتھ سے کھولا اور آج سے ہی وارنٹی شروع ہوئی، ڈیلیور بھی وقت سے پہلے ہوا۔شکریہ سیلر
87,10,gulraiz A.,I am very Happy. the phone is great and delivered within 2 days. thanks
88,10,Sameed S.,Orginal stuff. Satisfied!
89,10,Muhammad W.,"genuine sealed product, warranty started after i started using it. 1st very good online experience on mobile. always check authentic brand verified from daraz."
90,11,Noman A.,Reciceved it in 3 days good mobile original no damage to the product original charger was also in the box Recommended Seller
91,11,Muneeb R.,UNBEATABLE PRICE BY SELLER VERY CO OPERATIVE SELLER BUT VERY LATE ANSWERING . OVERALL 10/10 THANK YOU TO DARAZ PLATFORM
92,11,Aziz U.,"Product is original and as per details given. Delivered well before the committed time. Good presentable packaging, delivery is safe and sound.recommended the saller."
93,11,Aziz U.,"Product is original and as per details given. Delivered well before the committed time. Good presentable packaging, delivery is safe and sound.recommended the saller."
94,11,Muneeb R.,UNBEATABLE PRICE BY SELLER VERY CO OPERATIVE SELLER BUT VERY LATE ANSWERING . OVERALL 10/10 THANK YOU TO DARAZ PLATFORM
95,11,Uxman Z.,Very Good seller at daraz store.i am satisfied with this order and recommend this seller. very Good and fast mobile thanks daraz.
96,11,Muhammad F.,very nice good quality mobile average price rom 128GB
97,11,shehzad A.,very good seller original product
98,11,Muhammad R.,zaberdast 10/10
99,12,Abdul S.,1 . Look & Design: Phone is awesome in look very beautiful design. Feels like premium flagship 2. Performance : Satisfactory 3. Battery : Awesome 4. Front Camera Average 5. Back Camera : Good but not excellent 6. Over all : Value for money. Recommended this item.
100,12,3***8,بہت ہی اچھا موبائل ہے اور بہت پیاری پیکنگ ہے بیسٹ کوالٹی کا موبائل ہے اور بہت ہی کام قیمت میں
101,12,M J.,I like the product its non active device and nicely company packed. I Always order from your store. 👍 thanks i received samecolor as i want
102,12,M J.,I like the product its non active device and nicely company packed. I Always order from your store. 👍 thanks i received samecolor as i want
103,12,3***8,بہت ہی اچھا موبائل ہے اور بہت پیاری پیکنگ ہے بیسٹ کوالٹی کا موبائل ہے اور بہت ہی کام قیمت میں
104,12,Muhammad A.,"Product was delivered within two days, Alhamdolillah I received the same phone as they promised. I was worried about the delivery of the product but the seller was very cooperative. Thankyou again. I am unable to share my phone's pictures because i captured them from my old phone, and unfortunately its battery is dead, (the reason i bought this phone). I would definitely recommend people to buy from AlhamdoLillah Traders Co. They are trusted 😃, From: Dera Ismail Khan."
105,12,Zakir S.,"Trusted Vendor, Responsive.. well packed received in a very good condition.. a Very beautiful Mobile phone, haven't used yet but Hope it would work great... thanks Seller"
106,12,WASEEM A.,"I Give 5 Star Rating on this product. The seller is very cooperative, honest, friendly and has fast delivery service. Give me the original product. same as show in add. Thanks seller and thanks Daraz."
107,12,Zaid S.,So i ordered white color accidentally but mene seller ko chat me kh dia k mugha green chahiya and he said ok but seller ne bhi galti se white bhj dia. Jb mugha deliver hua to mene unse contact kia and unho ne mugha replace krna ki offer ki k ap is shop pr ja kr clr change krwa le. Amazing after sales. And the product i got is genuine box packed.
108,13,Nasir,"Original Product, Packing for logistics was excellent. Delivered on first promised day( took 4 days to deliver a standard time. price slight higher than company declared price and market price but it's ok in case of 0%installments"
109,13,3***1,"Thanks to the seller for the phone the same as I ordered, the same color keeps your trust to people but guarantee card is Missing I ordered one more same mobile with an other number"
110,13,Atif S.,received my package today good looking mobile in this price tag.
111,13,Abdul R.,"Received just in one day, Looks good. 👍"
112,13,Aliyan M.,very nice and good mobile in this price range and its my first experience very good experience
113,13,Muhammad H.,"Honest Seller, the product was same as shown. delivery little bit late but the seller 100% Recommend."
114,13,Asif G.,Original Product and super fast delivery within 18 hours. Good seller. thanks Daraz.
115,13,3***1,same product. jo btaya wohi delivere kia delivery service boht fast hy. good.
116,13,Mian Z.,Xiaomi no 1 world choice nice fone big battery charging type C honi chahia thi.
117,14,Asim A.,Mobile was repacked there was no company seal when i confirmed from MI service center they confirm that mobile was Repacked and was Activated 11 days before purchasing date and this shop owner have Assured me and other customers that mobile is not repacked and you will activate for the first time they lied and they are selling the product at increased price from official price but we have comprised on price that they will give us seal pack product but they scammed us and given us a repacked product which was activated before Purchasing.
118,14,Faisal K.,Nice mobile delivery in time thanks for seller
119,14,3***6,thank you draz and thank you seller bohat Acha mobile Hy or same colour Jo order Kia tha bohat Acha seller Hy over all very nice and good experience
120,14,Asif M.,delivered phone same as shown in picture
121,14,Namaloom F.,product delivered with in the time period given. thanks daraz and seller for keeping our trust.
122,14,Arslan A.,"First experience for buying mobile phone from Daraz, good Mobile Phone with reasonable price, Seller is very cooperative. Recommended Seller 👍"
123,14,Abdul B.,"Like every time, this time also the experience was very good and I received the delivery on time. Thank you daraz"
124,14,Muhammad I.,Honest seller. Geniun product. Same as shown. PTA approved. 11/11 offer benefit. Very low price. Thanks daraz. 5 stars.
125,14,Faysal,original product and sealed. bus delivery time zyada laga tha may be due to 11 11
126,15,Syyeda Q.,Zabrdast mobile hy. Original packing k sath. Markeet me final 39000 ka mil raha tha. Daraz se 36500 ka mila hy. Thnkew daraz
127,15,zahid I.,Thanks Daraz. Original device in a low price and deliver safely on time. Keep it up
128,15,Saima A.,best mobile good and save and fast delivery on time.. thank you selar thank you daraz
129,15,No O.,buht hi Acha experience raha. Market se buht hi discounted price pr buy kiya and also delivered within one day. Happy with purchase😊
130,15,Qamber A.,It was worth it! The mobile phone is original and really good in performance and it is really recommended. The only thing missing is that we didn't get any warranty card in the box.
131,15,0***4,product is made in Pakistan however it is of good quality
132,15,Basharat A.,"Bohat hi aala phone hey, 👋😊👋👋 Thanks to Seller and Daraz"
133,15,3***5,Best product Best seller service thanks Draz
134,15,Saima A.,best mobile good and save and fast delivery on time.. thank you selar thank you daraz
135,16,Meerullah,Great phone and in same condition box packed sealed. Orrigional accessories. Everything is great but delivery was not good by leopard. They tell that delivery is not in that area.
136,16,Abdul G.,Mashallah phone Tu great ha budget friendly value for money packing company packing mei tha seal pack sound system JBL company Ka ha sound la Jawab ha 10/10 for seller and for phone 10/8
137,16,rizwan R.,موبائل زبردست ہے اور بہت ہی مناسب قیمت میں ملا ہے ۔ 8 جی بی 256 جی بی میں یہ بیسٹ آپشن ہے ۔ اور سیلر بھائی نے بہت ہی تعاون کیا ۔ ہر چیز بہت بہترین طریقے سے واضح کی۔ باقاعدہ آن لائن وارنٹی بھی چیک کروائی گئی۔ جو دوست بھی لینا چاہئیں ضرور لیں انشاء اللہ نا امید نہیں ہوں گے اور انشاء اللہ اچھی چیز ملے گی۔ آرڈر کرنے کے تیسرے دن موبائل گھر پہنچ گیا ماشاءاللہ بہت ہی عمدہ سروس ۔ اللہ سبحانہ وتعالی جزائے خیر عطا فرمائیں آمین
138,16,smawkm,thankyou Alhamdulillah trading co for delivering phone fast and on time. they delivered box packed genuine product. businesses like Alhamdulillah trading co are reason to trust ecommerce. keep up the good work. looking forward to do business again.
139,16,Meerullah,Great phone and in same condition box packed sealed. Orrigional accessories. Everything is great but delivery was not good by leopard. They tell that delivery is not in that area.
140,16,Muhammad A.,Asslaam u Alaikum & Thanks to seller after my order I received phone in 50/- Hrs very fast service of Daraz & Seller.I got phone in genuine condition.God bless u Brother
141,16,Zeeshan A.,very nice mobile infnix Note 30 quality is amazing colour osam Thanks draz
142,16,Umair S.,appreciation for Daraz and seller.. placed order and recieved in less than 24 hrs.. fast and safe delivery.. thumbs up 👍
143,16,Abu B.,"very good phone in this budget. very sleek design, good battery , graphics and performance."
144,17,habib H.,mobile ki packing bhi achi ha.or original sumsang ki packing ki halat ma received howa ha dil khush kar diya daraz ki service na
145,17,Mrs A.,Nice Cell phone delivered safely but 1 thing is shameful that no adopter with mobile at this heavy price.. only data cable found in the box .. Great services by daraz
146,17,UMER,"Thanks a lot Daraz for their phenomenal service and a great discount of 5000 the device is very reasonablekeeping the current situation of the inflation I would highly recommend this over all other Chinese brands the look and feel of the device is awesome same like the flagship series of samsung and performance is also acceptable overall the only drawback being the charger not included with the device, which adds another couple of thousand to the already inflated price But still I like the phone thanks again daraz for providing the great experience and service Thanks a lot Daraz 😊❣️💥"
147,17,sara A.,Placed order on 14 sep and received on 16 September in afternoon. Packaging was intact. Sealed box. Received without any damage. It was a wonderful experience.
148,17,habib H.,mobile ki packing bhi achi ha.or original sumsang ki packing ki halat ma received howa ha dil khush kar diya daraz ki service na
149,17,Muhammad I.,"The Samsung A14 is a solid choice for those seeking a budget-friendly smartphone. With 4GB of RAM and 128GB of storage, it handles daily tasks with ease and provides ample space for apps and media. The device's performance is snappy, and it runs apps smoothly. The camera quality is good for the price range, and the battery life is impressive. If you're looking for a reliable smartphone with a balance of performance and storage, the Samsung A14 won't disappoint."
150,17,3***0,AoA Main daraz sy phly bhi orders krta hun but is order py mujy bohat kushi hui ha kun k ya order mujy diy gy time sy phly hi mill gya. Main is sy kush hua aor time py mari zarort puri ho gai aor mujy zada wait ni krna para. Product bhi theak ha.same as company paking. Thanks Allah Hafiz
151,17,Mian J.,Original product Box packed - Thanks Daraz ❤️🥀
152,17,Vicky A.,V Goood
153,18,Abdul G.,"Assalam u Alaikum Received before due date original product,packing was a little poor , but seller is coprative.It was my first purchase on installment happy to get it on 0% Mark up"
154,18,S***n,The seller was very cooperative and delivered the phone in just 3 days upon my request. The phone is just perfect and everything what I was looking for.
155,18,*******686,Same as described.. Amazing Packing and received just in 2 days.. Highly recommend
156,18,S***n,The seller was very cooperative and delivered the phone in just 3 days upon my request. The phone is just perfect and everything what I was looking for.
157,18,3***9,Masha Allah Jo select kia tha wohi same received Huwa hai aur bohat fast delivery hui hai thanks seller 👍
158,18,Abeel J.,Received within two days same as shown in advertisement.
159,18,N***.,Absolutely amazing product and 5 star to all service 1.Price 2.Genuine product 3.Daraz Discount n vouchers 4. Delivery Time 5.Seller Response 6.Bank Voucher and Installment on 0 Percent markup All these things help me to get this amazing mobile at roughly 47000 which is less then market. Thanks all amd amazing daraz sale. 11.11
160,18,*******686,Same as described.. Amazing Packing and received just in 2 days.. Highly recommend
161,18,sidra 0.,jo mng waya tha wohi hai thnkz daraz
162,19,Muhammad U.,received Original Product of Redme... Seller Response Very Good and Early. Satisfied 👍
163,19,Saeed K.,Mobile to Pinpack hai jaldi bi Ponch aya laikn delivery walo ne us adress pe nahi ponchaya jo adress dia tha balke call kr ke inform kia gaya or kaha gaya k a ke khud le jaye jiske ko laine k kiye mujhe 12 km dor ja ke kaina para bht afsos howa is bat pe.
164,19,Yar M.,"Great mobile, fast charging bhi nahi hai and No Glass No Cover. Best for my Rayyan Ali Khan."
165,19,Yar M.,"Great mobile, fast charging bhi nahi hai and No Glass No Cover. Best for my Rayyan Ali Khan."
166,19,Khalifullah,excellent.. thanks for delivering in quick time
167,19,Anila S.,I request for mint color in chat but received blue other wise good reasonable price
168,19,babarhussain,delivery & products quality is very good I recommend to any one who interested
169,19,Sher Z.,MashAllah nice mobile
170,19,3***4,bhot acha mobile received hoa Hai
171,20,Raz M.,Mashallah 11.11 Sale Received safe packed PTA approved Dilivered in time response excellent Great Quality Satisfied original item received thanks seller and Daraz 👍👍😁😊
172,20,Muhammad Y.,Quality is good. Original product. Non activated
173,20,AC R.,# 11.11 brand new. pin packed. good quality. got in 20000/- only. made in Pakistan. Seller Recommended.
174,20,AC R.,# 11.11 brand new. pin packed. good quality. got in 20000/- only. made in Pakistan. Seller Recommended.
175,20,z***4,"i loved the phone, its orignal n sealed brand new phone. Thank you seller."
176,20,Muhammad T.,excellent phone at a very cheap price on 11.11 sale HBL deal.
177,20,Asif M.,Good Product delivered with seal pack Thanks Daraz
178,20,Rana S.,good product. well packed.
179,20,tanveer,👍
180,21,Muhammad A.,"Excellent product, genuine and original product, PTA approved. No Patched mobile. Seller sounds a very professional and committed in such deals. strongly recommended and feel free to buy this product. Thank you Daraz and Grateful to you Dear Seller..."
181,21,Asif M.,#11.11 received as per specs mentioned. highly recommended.
182,21,Shaan U.,Box was sealed and came with all accessories. The seller is recommended for geniune product.
183,21,3***6,excellent device delivered before time 100% seller recommended.
184,21,3***0,very beautiful thanks shop tech love you set was pin pack
185,21,Asif M.,#11.11 received as per specs mentioned. highly recommended.
186,21,Hajra K.,I am regular customer of daraz and always have a v.good Experience with daraz. Itel s23 is Excellent same as show in picture Thank you daraz
187,21,3***7,Good Packing and delivery on time...Great Work
188,21,Alamgeer M.,recieved on time
189,22,3***1,Mobile is original as shown in the picture I give 5 Star to the seller honest seller But the leopard courier is third class delivery they could not deliver thier behaviour is very rude
190,22,Fatima S.,Bohat zabardast phone aya h same as shown mujha pehla dar tha k fake na ho but ya fake nai tha 10/10 ❤️❤️❤️
191,22,Naveed A.,#11.11 .Excellent service by daraz.purchase on installment cheaper then market.thanks daraz
192,22,Huda S.,😍Very authentic seller❤️thank you so much✨ received in a great condition and delivery was also fast...much better price on daraz 11.11 sale... it's PTA approved also 👍 recommended ✅ #11.11
193,22,Naveed A.,#11.11 .Excellent service by daraz.purchase on installment cheaper then market.thanks daraz
194,22,Sanjay K.,Good infinix Moblie And PTA Aproved Mobile Good sellar
195,22,3***0,#11.11 Good quality original product Good packing & Good daraz sarvice thx sellar & DARAZ
196,22,malik A.,exellent
197,22,Kashif I.,with this vendor I HV placed many times and I get delivery on very next day always. I don't know the trick of this vendor how he delivers on very next day. always he sends the right product and same color as per order always and with good packing he sends
198,23,M***.,"Recommended seller 💯 fast shipping, pin packed.This phone has been warranty active 6 weeks ago on manufacture date by Samsung. Phone is original and has not been repacked. The warranty is 24 months and will expire september 2025.So hurry up before your favorite color is sold out."
199,23,3***2,"In description section it says: What's in the box = 1 Phone , 1 Charger. But there is no Charger in the box. I know Samsung latest phone don't have chargers anymore, But then, why did your write it Like that. Moreover, the description/Specification Style of this phone in the daraz store was the worst thing I have ever seen. Kindly hire someone good. Other then of that, Original Seller(Samsung Flagship Store) is Selling Original/Sealed mobile phones. Good Delivery Service. So overall 3 Star"
200,23,faizan R.,#RWC2. Genuine product with quick delivery.
201,23,faizan R.,#RWC2. Genuine product with quick delivery.
202,23,3***9,In-time delivery and exact product. Fully satisfied with Daraz and their 11.11 sale.
203,23,Hamza T.,Recommended sellar. Original product PTA approved. Deliver time to Lahore 3 days.
204,23,Zubair R.,Fast delivery. they sent what they showed.
205,23,Qadir A.,"awesome phone,timely delivery"
206,23,Şýeđa S.,awesome....
